BRA,Summary
No,CNN videos won't play as the file is corrupt
No,CDM fails to play under some conditions
No,Intermittent test_navigator_gamepads.html | application crashed [@ mozilla::MediaCacheStream::Close()]
No,[EME] CDM crash in test_eme_playback.html
No,Intermittent test_eme_obs_notification.html | Test timed out.
No,Setting the audio element's currentTime to a same value as the audio element's duration corrupts it
No,"crash in __aeabi_fcmpgt (cubeb_opensl.c, opensl_init)"
No,"Intermittent  TEST-UNEXPECTED-FAIL | chrome://mochitests/content/a11y/accessible/tests/mochitest/actions/test_tree.xul | application terminated with exit code -6 | Assertion failed: (comp), function audiounit_stream_init, file ../../../../../media/libcube"
No,Intermittent test_audio1.html | application timed out after 330 seconds with no output
No,Intermittent TEST-UNEXPECTED-FAIL | /tests/content/media/webaudio/test/test_audioParamSetValueAtTime.html | Assertion count 1 is greater than expected range 0-0 assertions.
No,Intermittent test_contentDuration5.html | application timed out after 330 seconds with no output
No,Intermittent PROCESS-CRASH | /tests/content/media/test/test_play_events.html | application crashed [@ silk_stereo_quant_pred]
No,"Intermittent TEST-UNEXPECTED-FAIL | test_texttrackcue.html | There should be 1 currently active cue(s). - got 2, expected 1"
No,Intermittent TEST-UNEXPECTED-FAIL | /tests/content/media/test/test_autoplay_contentEditable.html | Exited with code 11 during test run | application crashed [@ nsCharSeparatedTokenizerTemplate<&(NS_IsAsciiWhitespace(unsigned short))>::nsCharSeparatedToken
No,Intermittent TEST-UNEXPECTED-FAIL | test_load_candidates.html | Test timed out.
No,Intermittent test_chaining.html | Assertion count 1 is greater than expected range (Must have timer scheduled: 'IsStateMachineScheduled()')
No,Intermittent test_media_selection.html | uncaught exception - ReferenceError: MediaTestManager is not defined at http://mochi.test:8888/tests/content/media/test/test_media_selection.html:12
No,Intermittent test_buffered.html | Assertion count 1 is greater than expected range 0-0 assertions from ASSERTION: Clock should go forwards if the playback rate is > 0.
No,Intermittent test_seekable1.html | Test timed out.
No,"Intermittent test_sanity | test failed with return code -6 after ""void test_stream_position(): Assertion `position <= total_frames_written' failed."""
No,"Intermittent test_load.html | Test small-shot.m4a 4 - events received in order - got source_error, expected durationchange | Test timed out."
No,Intermittent test_bug465498.html | Assertion count 1 is greater than expected range 0-0 assertions. after ASSERTION: Clock should go forwards if the playback rate is > 0.: 'mCurrentFrameTime <= clock_time || mPlaybackRate <= 0'
No,"Intermittent test_paused_after_ended.html | [finished 320x240.ogv-4] Length of array should match number of running tests - got 0, expected 1 | followed by several similar failures for other media files"
No,Intermittent TEST-UNEXPECTED-FAIL | /tests/image/test/mochitest/test_bug497665.html | application timed out after 330 seconds with no output
No,Intermittent test_seekable2.html | [SimpleTest.finish()] this test already called finish! | called finish() multiple times
No,Intermittent TEST-UNEXPECTED-FAIL | test_load_same_resource.html | {Clone} gizmo.mp4 duration: Infinity expected: 5.56
No,Intermittent TEST-UNEXPECTED-FAIL | /tests/content/media/test/test_chaining.html | Test timed out.
No,"Intermittent 459439-1.html | assertion count 1 is more than expected 0 assertions (Should have audio start time by now: 'audioStartTime != -1', file content/media/MediaDecoderStateMachine.cpp, line 1120)"
No,Intermittent test_seekable3.html | Test timed out.
No,Intermittent test_mozHasAudio.html | Test timed out.
No,Intermittent TEST-UNEXPECTED-FAIL | file:///C:/slave/test/build/tests/reftest/tests/content/media/test/crashtests/795892-1.html | application timed out after 330 seconds with no output
No,Intermittent test_bug726904.html | application crashed [@ PL_HashTableRawLookup]
No,Intermittent test_standalone.html | application timed out after 330 seconds with no output
No,"Intermittent test_loop.html,test_playback.html,test_seek-5.html | application crashed [@ mozilla::AudioClock::GetPositionUnlocked() const] after ""Assertion failure: frames >= mBaseOffset, at content/media/AudioStream.cpp:99"""
No,"Intermittent test_bug495145.html,test_playback_rate_playpause.html | application crashed [@ mozilla::AudioSink::AudioLoop()]"
No,Intermittent test_playback.html | application terminated with exit code -6 | application crashed [Unknown top frame]
No,Intermittent test_streams_element_capture.html | application crashed [@ mozilla::MediaStreamGraphInitThreadRunnable::Run()]
No,Intermittent test_bug448534.html | application timed out after 330 seconds with no output
No,Intermittent test_bug495145.html | undefined assertion name - Result logged after SimpleTest.finish()
No,Intermittent test_streams_element_capture.html | application crashed [@ mozilla::AudioMixer::FinishMixing()]
No,"Intermittent test_can_play_type_webm.html | This test left crash dumps behind, but we weren't expecting it to!"
No,"Intermittent test_playback_rate_playpause.html | application crashed [@ mozilla::gfx::ExtractAlpha_SIMD<__m128i>(mozilla::gfx::IntSizeTyped<mozilla::gfx::UnknownUnits> const &,unsigned char *,int,unsigned char *,int)]"
No,"Intermittent test_playback_rate_playpause.html,test_bug866570.html | Assertion count 2 is greater than expected range 0-0 assertions. from ASSERTION: Don't play when paused and ASSERTION: Stream write in unexpected state."
No,"Intermittent test_preload_actions.html | (19) 'loadedmetadata' shouldn't fire when preload is none | (19) no buffering has taken place - got 4, expected 0"
No,Intermittent test_bug493187.html | uncaught exception - IndexSizeError: Index or size is negative or greater than the allowed amount at http://mochi.test:8888/tests/content/media/test/test_bug493187.html:33
No,Intermittent test_seek-4.html | owl.mp3 seek test 4: Video currentTime should be around 1.645: 0.078366 | owl.mp3 seek test 4: Video currentTime should be around 0.8225: 0.078366 | owl.mp3 seek test 4: seek on target: 0.078366
No,"Intermittent test_texttrackregion.html | Region should not be null. - didn't expect null, but got it"
